IlluminanceCalibration,HEADER,17,303E6,unif_sens_gain_g2,float,-99999999999999,"",-99999999999999
IlluminanceCalibration,HEADER,16,303E5,unif_sens_gain_g1,float,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,31,Chuck,chuck,character,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,2,24A48,step,integer,1,"",-99999999999999
MASKBENDMONITOR,HEADER,3,Chuck,chuck,character,-99999999999999,"",-99999999999999
MASKBENDMONITOR,HEADER,4,14041,palate_no,integer,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,1,24160,plate,integer,1,"",-99999999999999
IlluminationAutoAdjustLog,HEADER,3,Device,device,character,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,3,24AD7,data_type,character,-99999999999999,"",-99999999999999
IlluminationAutoAdjustLog,HEADER,4,Process,process,character,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,29,LotID,lot_id,character,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,28,GlassID,glass_id,character,-99999999999999,"",-99999999999999
MASKBENDMONITOR,HEADER,16,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
IlluminationStatusLog,HEADER,1,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
MASKBENDMONITOR,HEADER,14,GlassID,glass_id,character,-99999999999999,"",-99999999999999
MASKBENDMONITOR,HEADER,15,LotID,lot_id,character,-99999999999999,"",-99999999999999
OASCOMPENSATIONMONITOR,HEADER,19,Chuck,chuck,character,-99999999999999,"",-99999999999999
OperationLog,HEADER,1,Date Time,log_time,timestamp2,-99999999999999,"",-99999999999999
IlluminationAutoAdjustLog,HEADER,11,3F55A,adj_mode,integer,-99999999999999,"",-99999999999999
ADCMEASUREMENT,HEADER,1,14041,plate,integer,1,"",-99999999999999
IlluminationAutoAdjustLog,HEADER,12,GlassID,glass_id,character,-99999999999999,"",-99999999999999
M_PSYNCHRONIZATIONERROR,TYPE20,37,"",lot_id,character,-99999999999999,"",-99999999999999
ADCMEASUREMENT[RAW],HEADER,15,GlassID,glass_id,character,-99999999999999,"",-99999999999999
IlluminationAutoAdjustLog,HEADER,13,LotID,lot_id,character,-99999999999999,"",-99999999999999
M_PSYNCHRONIZATIONERROR,HEADER,37,LotID,lot_id,character,-99999999999999,"",-99999999999999
OperationLog,HEADER,5,Operator,operator,character,-99999999999999,"",-99999999999999
OASBASELINEMEASUREMENTMONITOR,HEADER,32,204D8,data_condition,character,-99999999999999,"",-99999999999999
OperationLog,TYPE10,2,"",host,character,-99999999999999,"",-99999999999999
OperationLog,TYPE10,3,"",ip_address,character,-99999999999999,"",-99999999999999
ADCMEASUREMENT[RAW],HEADER,2,14040,step,integer,1,"",-99999999999999
ADCMEASUREMENT[RAW],HEADER,1,14041,plate,integer,1,"",-99999999999999
FULLSHOTAASEARCHMONITOR,HEADER,12,Chuck,chuck,character,-99999999999999,"",-99999999999999
FULLSHOTAASEARCHMONITOR,HEADER,11,Date Time,log_time,timestamp1,-99999999999999,"",-99999999999999
FULLSHOTAASEARCHMONITOR,HEADER,10,LotID,lot_id,character,-99999999999999,"",-99999999999999
ChamberLog,HEADER,9,GlassID,glass_id,character,-99999999999999,"",-99999999999999
M_PSYNCHRONIZATIONERROR,TYPE30,39,"",chuck,character,-99999999999999,"",-99999999999999
M_PSYNCHRONIZATIONERROR,TYPE30,38,"",log_time,timestamp5,-99999999999999,"",-99999999999999
M_PSYNCHRONIZATIONERROR,TYPE30,37,"",lot_id,character,-99999999999999,"",-99999999999999
IlluminationStatusLog,HEADER,5,34B03,lamp_num,integer,-99999999999999,"",-99999999999999
ErrorLog,TYPE20,10,"",lot_id,character,-99999999999999,"",-99999999999999
ALIGNMENTIMAGEEVALUATIONMONITOR,HEADER,18,1490C,half_wave_plate_right,integer,1,"",-99999999999999
ALIGNMENTCONDITIONMONITOR[PLATEFINEMARK],HEADER,51,Chuck,chuck,character,-99999999999999,"",-99999999999999
CHAMBERTEMPERATURELOG,HEADER,23,LotID,lot_id,character,-99999999999999,"",-99999999999999
ErrorLog,TYPE20,9,"",glass_id,character,-99999999999999,"",-99999999999999
ErrorLog,TYPE20,8,"",process,character,-99999999999999,"",-99999999999999
ErrorLog,TYPE20,7,"",device,character,-99999999999999,"",-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,24,24915,convex_z_msd_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,25,24916,convex_z_ma_msy_pos,integer,1000000,nm,-99999999999999
LaserInterferometerPowerLog,HEADER,16,GlassID,glass_id,character,-99999999999999,-99999999999999,-99999999999999
LaserInterferometerPowerLog,HEADER,17,LotID,lot_id,character,-99999999999999,-99999999999999,-99999999999999
LaserInterferometerPowerLog,HEADER,18,24844,msx1_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,19,24845,msy1_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,20,24846,msy2_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,21,24841,psx1_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,22,2484E,psx2_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,23,24842,psy1_voltage,integer,1000,uV,-99999999999999
ADCCOMPENSATION,HEADER,34,242C1,masktemp_my,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,33,242C0,masktemp_mx,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,32,242A7,measured_arc,integer,1000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,31,216B9,psp_maxdiff_psp,float,1000,ms,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,30,216B8,psp_maxdiff_psy,float,1000000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,29,216B7,psr_maxdiff_psr,float,1000,ms,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,28,216B6,psr_maxdiff_psy,float,1000000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,27,216B5,psz_maxdiff_psz,float,1000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,26,216B4,psz_maxdiff_psy,float,1000000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,25,216B3,psp_comp_start_pos2_psp,float,1000,ms,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,24,216B2,psp_comp_start_pos2_psy,float,1000000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,23,216B1,psp_comp_start_pos1_psp,float,1000,ms,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,22,216B0,psp_comp_start_pos1_psy,float,1000000,nm,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,21,216AF,psr_comp_start_pos2_psr,float,1000,ms,-99999999999999
PRESCANCOMPENSATIONMONITOR,HEADER,20,216AE,psr_comp_start_pos2_psy,float,1000000,nm,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,53,24932,trapezoid_lower_x_ma_msy_pos,integer,1000000,nm,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,54,24933,trapezoid_lower_x_ma_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,55,24934,trapezoid_lower_y_msd_msy_pos,integer,1000000,nm,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,56,24935,trapezoid_lower_y_msd_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,58,24937,trapezoid_lower_y_ma_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,59,24938,trapezoid_lower_z_msd_msy_pos,integer,1000000,nm,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,60,24939,trapezoid_lower_z_msd_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,61,2493A,trapezoid_lower_z_ma_msy_pos,integer,1000000,nm,-99999999999999
IlluminanceCalibration,HEADER,21,3034A,ill_sens_meas_range_g1,float,1,mWmm/cm2,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,35,24920,concave_z_msd_msy_pos,integer,1000000,nm,-99999999999999
ADCCOMPENSATION,HEADER,31,242A6,measured_mx,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,30,242A5,measured_yaw_low,integer,1000,msec,-99999999999999
ADCCOMPENSATION,HEADER,29,242A4,measured_yaw_up,integer,1000,msec,-99999999999999
ADCCOMPENSATION,HEADER,28,242A3,measured_my_low,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,27,242A2,measured_my_up,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,26,242A1,measured_dr_low,integer,1000,nm,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,46,2492B,trapezoid_upper_y_ma_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,47,2492C,trapezoid_upper_z_msd_msy_pos,integer,1000000,nm,-99999999999999
ADCCOMPENSATION,HEADER,23,24CF3,measured_mx_sub_adcoffset_p2p3,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,22,24CF2,measured_mx_p2,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,21,24CF1,measured_mx_sub_adcoffset_p2p1,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,20,24CF0,measured_mx_p1,integer,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,19,24033,measuredoffset_arc_l_drive,integer,1000,nm,-99999999999999
CHAMBERTEMPERATURELOG,HEADER,20,14283,psm_um,float,100,degree,-99999999999999
ADCREMEASUREMENT[DETAIL],HEADER,21,140F8,remeasurement_logical_position_y,float,1000,nm,-99999999999999
ADCCOMPENSATION,HEADER,36,GlassID,glass_id,character,-99999999999999,"",-99999999999999
ADCREMEASUREMENT[DETAIL],HEADER,22,140F9,remeasurement_logical_position_theta,float,1000,msec,-99999999999999
LaserInterferometerPowerLog,HEADER,24,24843,psy2_voltage,integer,1000,uV,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,64,2493D,trapezoid_pitch_msd_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,65,2493E,trapezoid_pitch_ma_msy_pos,integer,1000000,nm,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,66,2493F,trapezoid_pitch_ma_max,integer,1000,nG,-99999999999999
UMACCELERATIONMONITOR[MA_MSD],HEADER,67,24940,trapezoid_roll_msd_msy_pos,integer,1000000,nm,-99999999999999
MASKIMAGEAUTOFOCUS,HEADER,24,14136,set_mark_best_forcus_ly,float,1000,nm,-99999999999999
UmTemperatureControlLog,HEADER,18,20429,target_temperature_convex_cool,integer,100,degree,-99999999999999
ALIGNMENTIMAGEEVALUATIONMONITOR,HEADER,19,1490D,relay_lens_left,integer,1000000,nm,-99999999999999
IlluminanceCalibration,HEADER,20,30349,ill_sens_meas_range_gmin,float,1,mWmm/cm2,-99999999999999
LiPSFocus,HEADER,26,20B2D,right_st_base_difference,float,1000,nm,-99999999999999
ErrorLog,TYPE20,6,"",ppid,character,-99999999999999,"",-99999999999999
LaserInterferometerPowerLog,HEADER,25,24847,psyaw_l_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,26,24848,psyaw_r_voltage,integer,1000,uV,-99999999999999
ALIGNMENTIMAGEEVALUATIONMONITOR,HEADER,20,1490E,relay_lens_right,integer,1000000,nm,-99999999999999
ADCCOMPENSATION,HEADER,25,242A0,measured_dr_up,integer,1000,nm,-99999999999999
UmTemperatureLog,HEADER,18,CONCAVE UPPER L,temperature_concave_upper_l_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,19,CONCAVE UPPER C,temperature_concave_upper_c_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,20,CONCAVE UPPER R,temperature_concave_upper_r_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,21,CONCAVE LOWER L,temperature_concave_lower_1_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,22,CONCAVE LOWER C,temperature_concave_lower_c_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,24,UM CEILING,temperature_um_ceiling_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,25,UPPER L,temperature_upper_l_h1000,integer,1000,degree,-99999999999999
LaserInterferometerPowerLog,HEADER,27,2484A,pspitch_voltage,integer,1000,uV,-99999999999999
UmTemperatureLog,HEADER,28,LOWER L,temperature_lower_l_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,30,LOWER R,temperature_lower_r_h1000,integer,1000,degree,-99999999999999
UmTemperatureLog,HEADER,31,UM BODY,temperature_um_body_h1000,integer,1000,degree,-99999999999999
LaserInterferometerPowerLog,HEADER,28,2484B,psroll_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,29,24849,wlc_voltage,integer,1000,uV,-99999999999999
LaserInterferometerPowerLog,HEADER,15,Date Time,log_time,timestamp1,-99999999999999,-99999999999999,-99999999999999
LaserInterferometerPowerLog,HEADER,30,2484C,msx2_voltage,integer,1000,uV,-99999999999999
SICAXISPOSITIONMONITOR,HEADER,19,23ABF,target_comp_value_16,integer,100,0.0001,-99999999999999
SICAXISPOSITIONMONITOR,HEADER,32,34B75,predicted_value_6,integer,100,0.0001,-99999999999999
ADCREMEASUREMENT[DETAIL],HEADER,20,140F7,remeasurement_logical_position_x,float,1000,nm,-99999999999999
PLATEAUTOFOCUSCOMPENSATION,HEADER,28,241C8,stage_pos_afc_meas_z4,integer,1000,nm,-99999999999999
PLATEAUTOFOCUSCOMPENSATION,HEADER,27,241C7,stage_pos_afc_meas_z3,integer,1000,nm,-99999999999999
SICAXISPOSITIONMONITOR,HEADER,49,34B86,predicted_value_23,integer,100,0.0001,-99999999999999
STAGEVACUUMMONITOR,HEADER,23,241CD,cht_b2_vac,integer,100,0.01kPa,-99999999999999
ADCCOMPENSATION,HEADER,18,24032,measuredoffset_arc_u_drive,integer,1000,nm,-99999999999999
UmHeaterLog,HEADER,19,MASK,mask_h1000,float,10,%,-99999999999999
STAGEVACUUMMONITOR,HEADER,20,241CA,cht_f1_vac,integer,100,0.01kPa,-99999999999999
ADCCOMPENSATION,HEADER,24,24CF4,measured_mx_p3,integer,1000,nm,-99999999999999
UmTemperatureSourceLog,HEADER,19,MASK,mask_h1000,float,1000,degree,-99999999999999
M_PSYNCHRONIZATIONERROR,HEADER,18,24259,sync_z_moving_average_max,integer,1000,nm,-99999999999999
M_PSYNCHRONIZATIONERROR,HEADER,19,2425E,sync_p_standard_deviation_position,integer,1000000,nm,-99999999999999
